央视频道,#genre#
CCTV2,http://125.210.152.18:9090/live/CCTV2HD_H265.m3u8
CCTV3,http://125.210.152.18:9090/live/CCTV3HD_H265.m3u8
CCTV4,http://125.210.152.18:9090/live/CCTV4.m3u8
CCTV5,http://125.210.152.18:9090/live/CCTV5HD_H265.m3u8
CCTV5+,http://125.210.152.18:9090/live/TYSSHD_H265.m3u8
CCTV6,http://125.210.152.18:9090/live/CCTV6HD_H265.m3u8
CCTV7,http://125.210.152.18:9090/live/CCTV7HD_H265.m3u8
CCTV8,http://125.210.152.18:9090/live/CCTV8HD_H265.m3u8
CCTV9,http://125.210.152.18:9090/live/CCTVJLHD_H265.m3u8
CCTV10,http://125.210.152.18:9090/live/CCTV10HD_H265.m3u8
CCTV11,http://125.210.152.18:9090/live/CCTV11.m3u8
CCTV12,http://125.210.152.18:9090/live/CCTV12HD_H265.m3u8
CCTV13,http://125.210.152.18:9090/live/CCTV13.m3u8
CCTV14,http://125.210.152.18:9090/live/CCTV14HD_H265.m3u8
CCTV15,http://125.210.152.18:9090/live/ZYYY.m3u8
CETV1,http://125.210.152.18:9090/live/ZGJY.m3u8
CHC高清電影,http://125.210.152.18:9090/live/CHCGQDY.m3u8
CHC家庭影院,http://125.210.152.18:9090/live/JTYYHD_H265.m3u8
CHC動作電影,http://125.210.152.18:9090/live/DZDYHD_H265.m3u8
卫视频道,#genre#
天津衛視,http://125.210.152.18:9090/live/TJWSHD_H265.m3u8
東方衛視,http://125.210.152.18:9090/live/DFWSHD_H265.m3u8
湖南衛視,http://125.210.152.18:9090/live/HNWSHD_H265.m3u8
浙江衛視,http://125.210.152.18:9090/live/ZJWSHD_H265.m3u8
江蘇衛視,http://125.210.152.18:9090/live/JSWSHD_H265.m3u8
山東衛視,http://125.210.152.18:9090/live/SDWSHD_H265.m3u8
廣東衛視,http://125.210.152.18:9090/live/GDWSHD_H265.m3u8
深圳衛視,http://125.210.152.18:9090/live/SZWSHD_H265.m3u8
安徽衛視,http://125.210.152.18:9090/live/AHWSHD_H265.m3u8
四川衛視,http://125.210.152.18:9090/live/SCWSHD_H265.m3u8
河北衛視,http://125.210.152.18:9090/live/HBWSHD_H265.m3u8
東南衛視,http://125.210.152.18:9090/live/DNWSHD_H265.m3u8
河南衛視,http://125.210.152.18:9090/live/HNWSHD_H265.m3u8
江西衛視,http://125.210.152.18:9090/live/JXWSHD_H265.m3u8
貴州衛視,http://125.210.152.18:9090/live/GZWSHD_H265.m3u8
黑龍江衛視,http://125.210.152.18:9090/live/HLJWSHD_H265.m3u8
吉林衛視,http://125.210.152.18:9090/live/JLWSHD_H265.m3u8
遼寧衛視,http://125.210.152.18:9090/live/LNWSHD_H265.m3u8
山西衛視,http://125.210.152.18:9090/live/SXWS.m3u8
雲南衛視,http://125.210.152.18:9090/live/YNWS.m3u8
廣西衛視,http://125.210.152.18:9090/live/GXWS.m3u8
