金井少儿频道,#genre#
CCTV-14少儿,http://106.12.152.67/kannimabi.php?id=CCTV14HD
嘉佳卡通,http://liveplay-kk.rtxapp.com/live/program/live/jjkt/1300000/mnf.m3u8
童年经典,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_balalaxiaomoxian_1080p_t10/c15_lb_balalaxiaomoxian_1080p_t10.m3u8
动画小天地,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_dishine_1080p_t10/c15_lb_dishine_1080p_t10.m3u8
动物兄弟,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_yingshijinqu_1080p_t10/c16_lb_yingshijinqu_1080p_t10.m3u8
怀旧动画,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_huanjiudongman_1080p_t10/c15_lb_huanjiudongman_1080p_t10.m3u8
儿童乐园,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_dongmantiandi_1080p_t10/c15_lb_dongmantiandi_1080p_t10.m3u8
亲子启蒙,http://101.72.196.41/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_qinziqimeng_1080p_t10/c16_lb_qinziqimeng_1080p_t10.m3u8
CIBN童学世界,http://v.iam7.top/iptv/cibn/?id=1108&code=ReBo
CIBN动漫剧场,http://v.iam7.top/iptv/cibn/?id=1108&code=QinZi
黑莓动画,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226289/1.m3u8
金井儿童舞蹈,#genre#
长大你要当什么,http://s.61baobao.com/2016/flv/021040096.flv
小红花,http://s.61baobao.com/2016/flv/021040095.flv
小公主,http://s.61baobao.com/2016/flv/021040094.flv
我们一起弹钢琴,http://s.61baobao.com/2016/flv/021040093.flv
孙悟空,http://s.61baobao.com/2016/flv/021040092.flv
晒太阳,http://s.61baobao.com/2016/flv/021040091.flv
拍皮球,http://s.61baobao.com/2016/flv/021040090.flv
聪明的小猴子,http://s.61baobao.com/2016/flv/021040089.flv
宝宝摇篮曲,http://s.61baobao.com/2016/flv/021040088.flv
宝宝睡觉觉,http://s.61baobao.com/2016/flv/021040087.flv
爸爸教我唱儿歌,http://s.61baobao.com/2016/flv/021040086.flv
Turtle,http://s.61baobao.com/2016/flv/021040085.flv
Honey,http://s.61baobao.com/2016/flv/021040084.flv
Fly,http://s.61baobao.com/2016/flv/021040083.flv
Dance,http://s.61baobao.com/2016/flv/021040082.flv
Daddy Mummy,http://s.61baobao.com/2016/flv/021040081.flv
游泳小健将,http://s.61baobao.com/2016/flv/021040080.flv
一只小鸭嘎嘎嘎,http://s.61baobao.com/2016/flv/021040079.flv
一只丑小鸭,http://s.61baobao.com/2016/flv/021040078.flv
幸福宝贝,http://s.61baobao.com/2016/flv/021040077.flv
咕力咕力舞蹈堂堂,#genre#
春天来了,http://s.61baobao.com/flash/2016/3/049.flv
数字歌,http://s.61baobao.com/flash/2016/3/039.flv
月亮城堡,http://s.61baobao.com/flash/2016/2/139.flv
上学歌,http://s.61baobao.com/flash/2016/2/101.flv
过新年,http://s.61baobao.com/flash/2016/2/058.flv
洗澡澡,http://s.61baobao.com/flash/2016/2/034.flv



