香港频道,#genre#
香港卫视台,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq.flv#http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8
凤凰中文台,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8#http://223.82.250.72/ysten-bussiness/live/fhchinese/1.m3u8#http://117.169.124.43:6610/ysten-businessmobile/live/fhchinese/index.m3u8#http://112.50.243.10/PLTV/88888888/224/3221225900/3.m3u8#http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=190&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1#http://125.210.152.18:9090/live/FHZW_1200.m3u8
凤凰咨询台,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8#http://112.50.243.10/PLTV/88888888/224/3221225901/3.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8#http://117.148.187.100/PLTV/88888888/224/3221226491/index.m3u8#http://125.210.152.18:9090/live/FHZX_1200.m3u8
凤凰电影台,https://116.77.72.195/streams/d/fhdy/playlist.m3u8#rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
TVB 翡翠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
TVB 明珠台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=12&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
TVB 新闻台,http://www.liveviptv.xyz/tv/tvb.php
HKC 有线18,rtmp://59.124.75.137/sat/hk041
HKC 新闻台,https://ottproxy2.mott.tv/livehls/MOB-SCC/03.m3u8?sessionID=XNoSKsoyhu+3ZzGxIn6l1Azz
HKC 娱乐台,http://testalicdn2.cdn.utvhk.com/live/72ee37b54d524bcb806957577dfdfd72/fe371c746eb94b01b7fb0e70569a2e9f-1.m3u8
MTV 音乐台,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=202&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
TVB J2,P2p://51.79.41.138:18912/5b1409fc000dca0617d49f3723d93900.ts.ts#P2p://51.79.41.138:18912/5d122036000a06611e46efde49ac2c0a.ts.ts
TVB 翡翠台,P2p://51.79.41.138:18912/5b1409fc00088a7f17d49ddf36aa5041.ts.ts#P2p://51.79.41.138:18912/5d1220350000ba271e46e99419865a81.ts.ts
TVB 新闻台,P2p://51.79.41.138:18912/5b1409fc000a355e17d49e4d52ad164f.ts.ts#P2p://51.79.41.138:18912/5b140953000cd4a817d20ad057051e23.ts.ts
TVB 财资台,P2p://51.79.41.138:18912/5b14095400047cf517d20c962f11530b.ts.ts
TVB 明珠台,P2p://51.79.41.138:18912/5b1409540009bb8b17d20ded56dc49f5.ts.ts
TVB 星河台,P2p://51.79.41.138:18912/5b14092a000dc92117d16ae7042575ba.ts.ts
TVB 功夫台,P2p://51.79.41.138:18912/5b140a160000321217d5014c74b9470a.ts.ts
HKC 新闻台,P2p://51.79.41.138:18912/5b13f6f100047cde178a39de0a7724ba.ts.ts
HKC 财经资讯,P2p://51.79.41.138:18912/5cb870e2000e6af32f607c7a20790b91.ts.ts
HKC 电影一台,P2p://51.79.41.138:18912/5b140a160002576417d501d91af1598e.ts.ts
HKC 603 跑马,P2p://51.79.41.138:18912/5cb870e80007bd852f6092344e963e52.ts.ts
HKC 体育二台,P2p://51.79.41.138:18912/5cb870de000968d02f606b915b3d7065.ts.ts
TVB 一台美版,P2p://51.79.41.138:18912/5cffd79b0008224629c681c379a95434.ts.ts
TVB 二台美版,P2p://51.79.41.138:18912/5cffd79d0004cbb629c688b81a447284.ts.ts
TVB 高清美版,P2p://51.79.41.138:18912/5cf559f800003d1b00cbbb0741f73e3d.ts.ts
RHK 港视31,P2p://51.79.41.138:18912/5badd38d000891c41de9e69d5dc966b1.ts.ts
RHK 港视32,P2p://51.79.41.138:18912/5badd3910003a73d1de9f5041d2335d5.ts.ts
VIU TV,P2p://51.79.41.138:18912/5b1409540006651917d20d1346721578.ts.ts
VIU TV 6,P2p://51.79.41.138:18912/5b1409fd0007968317d4a1896b2b28c9.ts.ts
凤凰中文台,P2p://51.79.41.138:18912/5b14092b0007595617d16d293ae3135e.ts.ts
凤凰资讯台,P2p://51.79.41.138:18912/5b14092b0009048317d16d96584d1e94.ts.ts
凤凰台,P2p://51.79.41.138:18912/5b14092b000ab05817d16e044e363842.ts.ts
天映频道,P2p://51.79.41.138:18912/5d650486000c7ef4de8e0fbd2f742d81.ts.ts
天映经典,P2p://51.79.41.138:18912/5d650488000e67a1de8e180a645f2fc9.ts.ts
星空卫视,P2p://51.79.41.138:18912/5b1409fb0000e98517d4980376aa5a30.ts.ts
星空卫视,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=233&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1#http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=234&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
澳门频道,#genre#
莲花卫视,P2p://51.79.41.138:18912/5b1409fb00088a4617d499f77c564cb6.ts.ts
澳视,http://61.244.22.4/ch1/ch1.live/playelist.m3u8
澳视体育,http://103.233.191.138/ch4/sport_ch4.live/playlist.m3u8
卫星,http://61.244.22.4/ch3/ch3.live/playelist.m3u8
资讯,http://103.233.191.138/ch5/info_ch5.live/playlist.m3u8
卫视,http://stream.mastvnet.com/MSTV/playlist.m3u8
澳亚卫视,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=192&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
莲花卫视,http://live-rtmp.lotustv.duolaibo.cn/lotustv/5562e9e4d409d24c9600075c.m3u8
台湾频道,#genre#
三立新闻台,http://60.199.188.65/HLS/WG_ETTV-N/01.m3u8
博斯魅力台,http://m03.happytv.com.tw/live/OcScNdWHvBx5P4w3/index.m3u8
东森新闻台,P2p://170.178.164.243:6210/5b448ad9000732770003ae545bf7ba34.ts
FOX 家庭电影,P2p://51.79.41.138:18912/5b14098e000945ca17d2f05e23096668.ts.ts
FOX 警匪电影,P2p://51.79.41.138:18912/5b14098e000e434e17d2f1a6468846dc.ts.ts
FOX 动作电影,P2p://51.79.41.138:18912/5b140977000904d617d296767dc951d7.ts.ts
大爱一台,http://wowzaprodhd44-lh.akamaihd.net/i/953b6364_1@580145/index_2728_av-p.m3u8#https://wowzaprodhd44-lh.akamaihd.net/i/953b6364_1@580145/master.m3u8
大爱二台,http://wowzaprodhd17-lh.akamaihd.net/i/46021e1e_1@576535/index_2728_av-p.m3u8#https://wowzaprodhd17-lh.akamaihd.net/i/46021e1e_1@576535/master.m3u8
大爱海外,http://wowzaprodhd28-lh.akamaihd.net/i/a74135ef_1@577349/index_2728_av-p.m3u8#https://wowzaprodhd28-lh.akamaihd.net/i/a74135ef_1@577349/master.m3u8
HBO 亚洲版,P2p://51.79.41.138:18912/5b140969000be13c17d2608218fe1e31.ts.ts
HBO 强档台,P2p://51.79.41.138:18912/5b14096900084dd917d25f9813a456ad.ts.ts
HBO 原创台,P2p://51.79.41.138:18912/5b14096a000a35a117d263fd2eda6110.ts.ts
EYE 戏剧台,P2p://51.79.41.138:18912/5b14093e000e433917d1b92674673784.ts.ts
EYE 旅游台,P2p://51.79.41.138:18912/5b140916000c981817d11c797bae1219.ts.ts
壹电视综合,P2p://51.79.41.138:18912/5b1409400006a23517d1bf027c3834c3.ts.ts
壹电视新闻,P2p://51.79.41.138:18912/5bdbf3a3000abb1bd2173d393f733744.ts.ts#P2p://51.79.41.138:18912/5b14094000088a4617d1bf7f28cd7dd9.ts.ts
中天新闻台,P2p://51.79.41.138:18912/5b14096a000dc91717d264e768212e72.ts.ts
中视新闻台,P2p://51.79.41.138:18912/5b14095e000f377417d236655f6c061b.ts.ts
非凡新闻台,P2p://51.79.41.138:18912/5b14092c0001a04c17d16f9a22753e71.ts.ts#P2p://51.79.41.138:18912/5c2dd766000ecf4a11f8f00a00733f3e.ts.ts
非凡商业台,P2p://51.79.41.138:18912/5b140a9a0001dd5b17d7055a180573f2.ts.ts
亚洲旅游台,P2p://51.79.41.138:18912/5b1409170009418317d11f864cad7029.ts.ts
爱尔达综合,P2p://51.79.41.138:18912/5b1409db0002d1cf17d41b8064902910.ts.ts
爱尔达影剧,P2p://51.79.41.138:18912/5b1409dc0006a1ca17d420621fa22b4a.ts.ts
星卫娱乐台,P2p://51.79.41.138:18912/5b1408f1000d124917d08c10017e03eb.ts.ts
星卫电影台,P2p://51.79.41.138:18912/5bdbf3b90004478ad21791732b1d5d80.ts.ts#P2p://51.79.41.138:18912/5b140940000a727a17d1bffc371a3967.ts.ts
美亚电影台,P2p://51.79.41.138:18912/5b14098f0007961517d2f3d97b743b7b.ts.ts
卫视电影台,P2p://51.79.41.138:18912/5c2dd76a000ca61411f8ff1d02727007.ts.ts#P2p://51.79.41.138:18912/5b140960000aafcc17d23d0c19417774.ts.ts
FOX 体育一台,P2p://51.79.41.138:18912/5b3c4f980000c856627ee30c7a5d346c.ts.ts
FOX 体育二台,P2p://51.79.41.138:18912/5b3c4f980006aaf3627ee4922b585676.ts.ts
中天新闻台,P2p://170.178.164.243:6210/5b448ab10008ebac00031285e3ce5884.ts
TVBS 新闻台,http://60.199.188.65/HLS/WG_TVBS-N/01.m3u8
国兴卫视,P2p://51.79.41.138:18912/5b1409f2000ebd7817d4786532de0737.ts.ts
美食星球,P2p://51.79.41.138:18912/5b140917000d8bec17d1209f098344ba.ts.ts
动物星球,P2p://51.79.41.138:18912/5b14096100006f3317d23e54193b191a.ts.ts
地理野生,P2p://51.79.41.138:18912/5b1409170007d34217d11f2864f03dfb.ts.ts
地理悠人,P2p://51.79.41.138:18912/5b14093f000b29ff17d1bc4345ec50f1.ts.ts
环宇综合,P2p://51.79.41.138:18912/5b14098e00034c1017d2eed76ae86abc.ts.ts
环宇新闻,P2p://51.79.41.138:18912/5b1408f30005adec17d091fc5ef26aa6.ts.ts
台视,P2p://51.79.41.138:18912/5c2dd73f000c83be11f85725344e7563.ts.ts
中视,P2p://51.79.41.138:18912/5b14095f00075e7117d2384904cc5a8f.ts.ts#P2p://51.79.41.138:18912/5c2dd743000549bf11f864e14dec4933.ts.ts
民视,P2p://51.79.41.138:18912/5c2dd73c0002b60711f848dd2b9546fd.ts.ts
公视,P2p://51.79.41.138:18912/5b1409600001a0b217d23aba6f3740a0.ts.ts
大爱,P2p://51.79.41.138:18912/5b1409db0005716817d41c2c57747e3b.ts.ts
TVBS 新闻台,P2p://51.79.41.138:18912/5b1409600008c73b17d23c8f55c56c96.ts.ts#P2p://51.79.41.138:18912/5c2dd76300095ef411f8e2eb57b31eeb.ts.ts
TVBS 综合台,P2p://51.79.41.138:18912/5b140960000c982b17d23d893b4438f6.ts.ts
