台湾频道,#genre#
中视,http://192.200.120.82:8080/ZZ_zhongshi/ZZ_zhongshi.m3u8
中视(备),p2p://lino.homeunix.com:6007/59fd06ac000555a7022e8c862ebc1019.ts
中视新闻台,p2p://lino.homeunix.com:6007/59fd2282000219b8029b479b6fc21d86.ts
中视经典,p2p://lino.homeunix.com:6007/59fd09bd0002ab6d023a86337415321a.ts
华视,http://192.200.120.82:8080/ZZ_huashi/ZZ_huashi.m3u8
华视(备),p2p://lino.homeunix.com:6007/59fd068a0005f99e022e07d55c2f581d.ts
华视教育体育文化,p2p://lino.homeunix.com:6007/59fd23240005c9a4029dc1561885012e.ts
台视,p2p://lino.homeunix.com:6007/59fd099c00008ebf023a04ce64d57ff4.ts
台视新闻台,p2p://lino.homeunix.com:6007/59fd299b00054a3002b7020e67d657e3.ts
民视,p2p://lino.homeunix.com:6007/59fd230300046dc8029d402053e02fbf.ts
民视新闻台,p2p://lino.homeunix.com:6007/59fd05930008403b022a439a3b9b7401.ts
民视台湾台,p2p://lino.homeunix.com:6007/59fd0670000decc5022da459628c3d1a.ts
公视,p2p://lino.homeunix.com:6007/59fd0656000e66cd022d3ee840ad175d.ts
公视3,p2p://lino.homeunix.com:6007/5ac5da01000d09fc15e6046427920804.ts
公视3(备),P2p://51.79.41.137:18912/5b14094a0002d1d117d1e518204a1cf0
中天新闻,http://192.200.120.82:8080/ZZ_zhongtiannews/ZZ_zhongtiannews.m3u8
中天新闻,p2p://lino.homeunix.com:6007/59fd05020006070602280c953c2545e6.ts
中天综合,http://192.200.120.82:8080/ZZ_zhongtianzonghe/ZZ_zhongtianzonghe.m3u8
中天综合(备),p2p://lino.homeunix.com:6007/59fd04bc00059d610226fb164a845fa5.ts
中天娱乐,http://192.200.120.82:8080/ZZ_zhongtianyule/ZZ_zhongtianyule.m3u8
中天娱乐(备),p2p://lino.homeunix.com:6007/59fd049e0006fb6e0226863427c16955.ts
中天亚洲,p2p://lino.homeunix.com:6007/59fd05260002b0730228985b2c380c8a.ts
三立新闻,http://60.199.188.65/HLS/WG_ETTV-N/01.m3u8
三立新闻(备),p2p://lino.homeunix.com:6007/59fd08fd000707490237995b3c9f2775.ts
三立都会台,p2p://lino.homeunix.com:6007/59fd20f5000e6b4602953c0079210fd1.ts
三立戏剧台,p2p://lino.homeunix.com:6007/59fd274c0001400d02adfc6d23452c25.ts
三立综合台,p2p://lino.homeunix.com:6007/59fd27240003732f02ad60c95d8e10a7.ts
三立台湾.,p2p://lino.homeunix.com:6007/5a1425f00009bfad5fb93e0a6f7070c4.ts
东森新闻,http://192.200.120.82:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8
东森新闻(备),p2p://lino.homeunix.com:6007/5a1427ee0009fb195fc1064a3af652d1.ts
东森电影,http://192.200.120.82:8080/ZZ_dongsendianying/ZZ_dongsendianying.m3u8
东森电影(备),p2p://lino.homeunix.com:6007/59fd0cab0008230a0245f94a229777bd.ts
东森幼幼,http://220.158.149.14:9999/live/TV00000000000000000076@HHZT;LIVE?DSJTV.m3u8
东森幼幼(备),p2p://lino.homeunix.com:6007/5a32188e00095e2bd4b5d0737fe325f5.ts
东森戏剧,p2p://lino.homeunix.com:6007/59fd17a500022c250270d8533c186ce9.ts
东森洋片,p2p://lino.homeunix.com:6007/59fd17860002b83302705f6a03a560d2.ts
东森综合,p2p://lino.homeunix.com:6007/5a141ade0007bc435f8dff2d5b3453d7.ts
东森财经新闻,p2p://lino.homeunix.com:6007/59fd1f94000ee56d028fd937397b7e63.ts
环宇新闻,p2p://lino.homeunix.com:6007/59fd2b5e0006d13802bde4340bc41e87.ts
环宇新闻二,p2p://lino.homeunix.com:6007/5a142744000f25045fbe6f82276e0d88.ts
环宇财经,p2p://lino.homeunix.com:6007/59fd2b98000b4fba02bec7ed4c560211.ts台湾艺术,http://210.209.3.1/live/4715A9B3-B3CB-93DC-EDD6-CABCE3AFD3E3.m3u8?fmt=x264_500K_ts&cpid=admin&size=1280X720
八大综合,http://192.200.120.82:8080/ZZ_zhongtianyazhou/ZZ_zhongtianyazhou.m3u8
八大综合(备1),p2p://lino.homeunix.com:6007/59fd22220005cbed0299d18627a207f7.ts
八大第一,p2p://lino.homeunix.com:6007/59fd22540006fb57029a95244a947e57.ts
八大戏剧,p2p://lino.homeunix.com:6007/59fd21c7000edfe70298706f2ef217c7.ts
八大娱乐,p2p://lino.homeunix.com:6007/59fd38fe000e2eeb02f31f187a8b3f49.ts
TVBS,p2p://lino.homeunix.com:6007/59fd20d3000f24fd0294b75f4a555e2a.ts
TVBS新闻台,http://60.199.188.65/HLS/WG_TVBS-N/01.m3u8
TVBS新闻台(备),rtmp://59.124.75.137/sat/tv551?dsjtv.m3u8
TVBS新闻台(备1),p2p://lino.homeunix.com:6007/59fd096d0003aa9702394e013b6206a2.ts
TVBS欢乐台,p2p://51.79.41.138:18912/5c72488a000a56b71d52e3a07060345e.ts
TVBS欢乐台(备),http://220.158.149.14:9999/live/TV00000000000000000079@HHZT;LIVE?DSJTV.m3u8
TVBS欢乐台(备1),p2p://lino.homeunix.com:6007/59fd20ae000635720294248563346fd6.ts
TVBS 精彩台,p2p://lino.homeunix.com:6007/59fd250f000aa01602a54096673b0f2a.ts
福克斯电影台,http://192.200.120.82:8080/ZZ_foxaction/ZZ_foxaction.m3u8
好莱坞电影台,http://192.200.120.82:8080/ZZ_haolaiwu/ZZ_haolaiwu.m3u8
好莱坞电影(备),P2p://190.2.146.92:18912/5c7249e2000125281d5820ff23a165d1.ts
好莱坞电影(备1),p2p://lino.homeunix.com:6007/5a141b66000b4be65f90135822b40e43.ts
龙翔时代电影,http://192.200.120.82:8080/ZZ_shidai/ZZ_shidai.m3u8
HBO电影,http://hls.ws.anyrtc.io/live/c3f9594ce29aedabdc00e3cf15e605f5.flv
HBO电影(备),http://220.158.149.14:9999/live/TV00000000000000000166@HHZT;LIVE
天映,p2p://lino.homeunix.com:6007/5b2f1ee9000d3e3d109cc71f4b240eb3.ts
天映经典,http://flv.live.xylive.tv/live/0050.flv
天映经典(备),p2p://lino.homeunix.com:6007/5b2e01c400098d0f0c42edad22c37385.ts
全佳,p2p://lino.homeunix.com:6007/5b2c7b9d000cafb7064ee62073b5429d.ts
喜悦,p2p://lino.homeunix.com:6007/5b2c88690001d3520680e0317d774511.ts
华丽台,p2p://lino.homeunix.com:6007/5b2f267700061e0f10ba47fb489f5964.ts
小太阳,p2p://lino.homeunix.com:6007/5b2c879d000424bd067dc3ee45d96446.ts
欢喜台,p2p://lino.homeunix.com:6007/5b2c86ff000b8df6067b5ca240b93635.ts
双星,p2p://lino.homeunix.com:6007/5b2f26bb000f257c10bb53ec280e5f3f.ts
AEC,p2p://lino.homeunix.com:6007/5b2c873100007ef4067c1d2352642785.ts
AOD,p2p://lino.homeunix.com:6007/5b2c8894000eb34506818b752bbe53c4.ts
Discovery科学频道,p2p://lino.homeunix.com:6007/59fd166e000c7533026c1c1b4bf23d6b.ts
Discovery动力频道,p2p://lino.homeunix.com:6007/59fd2846000cb99902b1cffa3bb33abb.ts
Discovery,p2p://lino.homeunix.com:6007/59fcf587000c4fc201eb95c324ea0953.ts
Discovery EVE,p2p://lino.homeunix.com:6007/59fd286b000e1cdb02b260d1385f3d28.ts
Discovery Asia,p2p://lino.homeunix.com:6007/59fd15f7000e7852026a4bd030284bc8.ts
高清探索频道,p2p://lino.homeunix.com:6007/5acb89750000af6a2c1ba62e06531ad6.ts
番薯电视,http://210.209.3.1/live/C02DD98E-593E-47A8-905C-3B101183A555?fmt=x264_500K_ts&cpid=admin&size=720X480&toflv=1&start=
原住民族,https://bcovlive-a.akamaihd.net/82be3b97f67745058447484cc8a2d015/ap-southeast-1/5817780548001/profile_0/chunklist.m3u8
动物星球,http://192.200.120.82:8080/ZZ_dongwuxingqiu/ZZ_dongwuxingqiu.m3u8
国家地理,p2p://lino.homeunix.com:6007/59fd16240000683c026af7fe2edc67eb.ts
国家地理People,p2p://lino.homeunix.com:6007/59fd2804000a86bb02b0cd8e6fa14a15.ts
地理野生频道,p2p://lino.homeunix.com:6007/59fd082b000c6ca7023466633fed4c93.ts
壹电视综合,p2p://lino.homeunix.com:6007/59fd06f600087a21022fae61787f061c.ts
壹电视新闻,p2p://lino.homeunix.com:6007/59fd08ad000509c00236604f613b08e7.ts
非凡商业,p2p://lino.homeunix.com:6007/5b07a59b0005c8ff766a65e653565438.ts
非凡新闻,p2p://lino.homeunix.com:6007/59fd05f30007004f022bba4b77671d93.ts
年代新闻,p2p://lino.homeunix.com:6007/5a56230e0004af51617ff5935a3e292e.ts
国兴卫视,p2p://lino.homeunix.com:6007/59fd0565000d04390229912232d21634.ts
travel,p2p://lino.homeunix.com:6007/59fd0b9100084afb0241abca38654efa.ts
CINEMAX,p2p://lino.homeunix.com:6007/59fd0b0b00042603023f9f5023951856.ts
fashiontv,p2p://lino.homeunix.com:6007/59fd0add000221eb023eeb130f1c4195.ts
NHK WORLD,p2p://lino.homeunix.com:6007/59fd0a09000c3214023bb18461b51f7a.ts
JET 综合&年代MUCH,p2p://lino.homeunix.com:6007/59fd054a00006c030229246e6fa27a75.ts
Baby TV 英语,p2p://lino.homeunix.com:6007/59fd088b000b59000235dd256d3d4ad5.ts
星卫娱乐台,p2p://lino.homeunix.com:6007/59fd332000050f8702dc318743ba40af.ts
星卫电影台,p2p://lino.homeunix.com:6007/59fd086a00072cbb02355b236c4a3fcb.ts
美亚电影台,p2p://lino.homeunix.com:6007/59fd08470008d4d60234d2d92e65644c.ts
卫视西片,p2p://lino.homeunix.com:6007/59fd1475000301e1026465123e2e3650.ts
卫视中文台,p2p://lino.homeunix.com:6007/59fd0394000660a0022277050be47b46.ts
卫视电影台,p2p://lino.homeunix.com:6007/59fd0369000ea5750221d12f32a532b8.ts
卫视合家欢,p2p://lino.homeunix.com:6007/59fd14190000e1040262fd2560d91f69.ts
靖天电影,p2p://lino.homeunix.com:6007/59fd358c00069b9502e5a7d404d940d2.ts
靖天映画,p2p://lino.homeunix.com:6007/59fd3565000a788d02e5107642590dce.ts
靖天日本,p2p://lino.homeunix.com:6007/59fd2893000bff8802b2fc847a9852a6.ts
靖天戏剧,p2p://lino.homeunix.com:6007/59fd36f80009b75202eb367f603a273f.ts
靖天国际,p2p://lino.homeunix.com:6007/59fd32c800056a3402dad9e646096d29.ts
靖天育乐,p2p://lino.homeunix.com:6007/59fd3068000ea26902d195477bc86f19.ts
靖天卡通,p2p://lino.homeunix.com:6007/59fd38e0000de06a02f2a9c951a975a6.ts
龙华电影,p2p://lino.homeunix.com:6007/5acb86bc0005dc212c1104ce762f31f7.ts
龙华洋片,p2p://lino.homeunix.com:6007/59fd07650001a79102315e34781149f3.ts
龙华动画,p2p://lino.homeunix.com:6007/59fd26690002a01402aa86134bf26468.ts
龙华偶像,p2p://lino.homeunix.com:6007/59fd38a1000ca5a002f1b363682d5b70.ts
龙华戏剧,p2p://lino.homeunix.com:6007/59fd38840006b53d02f14094613f7615.ts
龙华经典,p2p://lino.homeunix.com:6007/59fd3363000e740302dd39b062856e0b.ts
龙华影剧,p2p://lino.homeunix.com:6007/59fd30d6000988d702d341a0202638f5.ts
靖洋戏剧台,p2p://lino.homeunix.com:6007/59fd259600089bb202a74f6123416e8d.ts
AXN 新力影业动作片,p2p://lino.homeunix.com:6007/59fd2573000c0b9e02a6c794631510c8.ts
亚洲美食,p2p://lino.homeunix.com:6007/59fd27e40007382002b04fb323e85206.ts
亚洲旅游,p2p://lino.homeunix.com:6007/59fd0809000909e90233e0b820d34ea5.ts
ELTA综合,p2p://lino.homeunix.com:6007/59fd26ca00086abe02ac0272796720c5.ts
ELTA影剧,p2p://lino.homeunix.com:6007/59fd07e7000727bb02335b6b31754db5.ts
ELTA体育1,p2p://lino.homeunix.com:6007/59fd07ba000a4d260232ac6f507c5a84.ts
博斯网球,p2p://lino.homeunix.com:6007/59fd0790000c3d34023208dc252633c0.ts
博斯魅力,http://ms003.happytv.com.tw/live/OcScNdWHvBx5P4w3/index.m3u8
博斯高球一台,p2p://lino.homeunix.com:6007/59fcf4c90006ba2c01e8ae1c1ec827ca.ts
博斯高球二台,p2p://lino.homeunix.com:6007/59fd073b0000c2280230b9e6743b0ab3.ts
博斯无限,p2p://lino.homeunix.com:6007/59fd149100031ddf0264d2721a4e5126.ts
博斯足球 ,p2p://lino.homeunix.com:6007/59fd3861000ae97702f0b8f522337286.ts
博斯运动,p2p://lino.homeunix.com:6007/59fcf5fa00018d0c01ed543c25887aed.ts
美食星球,p2p://lino.homeunix.com:6007/59fd07190004a07d0230361f798d3b15.ts
纬来日本,p2p://lino.homeunix.com:6007/5bc8a92100047ccf6299e01b2aac4b86.ts
纬来体育,p2p://lino.homeunix.com:6007/5a141bab0009ca9c5f91208265721808.ts
纬来体育(备),http://220.158.149.14:9999/live/TV00000000000000000078@HHZT;LIVE?DSJTV.m3u8
纬来电影,p2p://lino.homeunix.com:6007/59fd1feb0003d7be02912a31740004af.ts
纬来综合,p2p://lino.homeunix.com:6007/59fd206e00099d6f02932b6078c86d9a.ts
纬来戏剧,p2p://lino.homeunix.com:6007/59fd20190002fb090291ddb256d73759.ts
纬来育乐,p2p://lino.homeunix.com:6007/59fd26ad000978f002ab917848d22993.ts
纬来精彩,p2p://lino.homeunix.com:6007/5ac5d68600012bae15d868ee776c7fe2.ts
Disney 迪士尼,p2p://lino.homeunix.com:6007/59fd1766000a51cc026fe44f425c5788.ts
大爱一台,p2p://lino.homeunix.com:6007/59fd173e0004273a026f46886dde4613.ts
History,p2p://lino.homeunix.com:6007/59fd16f900060059026e396d395f3348.ts
CNN 美国有线电视新闻网,p2p://lino.homeunix.com:6007/59fd16db000b5f05026dc5a57b516fdb.ts
BBC,p2p://lino.homeunix.com:6007/59fd16bc000f2550026d4d870b85516d.ts
NBA,p2p://lino.homeunix.com:6007/59fd169800027ee0026cbdab73845c4a.ts
采昌影剧台,p2p://lino.homeunix.com:6007/59fd15cc000cd7cc0269a36a466420ca.ts
OUTDOOR,p2p://lino.homeunix.com:6007/59fd15a600029d6902690c5b552d077d.ts
HBO ,p2p://lino.homeunix.com:6007/59fd1566000391610268129978510d8e.ts
HBO Family 温馨家庭,p2p://lino.homeunix.com:6007/59fd152900015243026723c45811069b.ts
HBO原创巨献,p2p://lino.homeunix.com:6007/59fd14fc0005019f026674e730ed03b5.ts
HBO Hits 强档巨献,p2p://lino.homeunix.com:6007/59fd22e50004a1f8029ccaff41480126.ts
FOX ,p2p://lino.homeunix.com:6007/59fd14cf000321f60265c4a24ca93407.ts
FOX CRIME,p2p://lino.homeunix.com:6007/59fd14ae0007a794026544e32f606291.ts
