央视频道,#genre#
CCTV 01,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228504/index.m3u8?fmt=ts2hls#https://116.77.72.195/streams/d/cctv1a/playlist.m3u8#http://l1.weihai.tv:8081/hls/3bjRUVNYwi.m3u8#http://wshls.butel.com/live/4387.m3u8#http://umslive.hebyun.com.cn/live/cctv1/1500k/tzwj_video.m3u8#http://cdn.5itv.tv/ZZ_cctv1/ZZ_cctv1.m3u8#http://tx-pclivemate.hlspull.yximgs.com/UCKBm4yrUmE_sd1000tp.m3u8
CCTV 02,https://116.77.72.195/streams/d/cctv2/playlist.m3u8#http://wxcnlive.videocc.net/vod1/cctv2169/01.m3u8?wsSecret=0f883c8649a6b883016f6408d7c80f9d&wsTime=1509347397#http://umslive.hebyun.com.cn/live/cctv2/1500k/tzwj_video.m3u8#http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228482/index.m3u8?fmt=ts2hls
CCTV 03,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228563/index.m3u8?fmt=ts2hls#https://116.77.72.195/streams/d/cctv3/playlist.m3u8#http://39.135.32.29:6610/000000001000/1000000001000011218/index.m3u8?i#http://newvideo.dangtutv.cn:8278/CCTVzongyi/playlist.m3u8
CCTV 04,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228306/index.m3u8?fmt=ts2hls#http://cdn.5itv.tv/ZZ_cctv4/ZZ_cctv4.m3u8#http://umslive.hebyun.com.cn/live/cctv4/1500k/tzwj_video.m3u8#http://39.134.65.162/PLTV/88888888/224/3221225487/index.m3u8#http://117.169.120.140:8080/live/cctv-4/.m3u8#http://183.207.248.71/cntv/live1/cctv-4/cctv-4#http://183.207.249.11/PLTV/3/224/3221225534/index.m3u8#http://111.63.117.13:6060/030000001000/CCTV-4/CCTV-4.m3u8
CCTV 05,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228570/index.m3u8?fmt=ts2hls#https://116.77.72.195/streams/d/cctv5/playlist.m3u8#http://cdn.5itv.tv/ZZ_cctv5/ZZ_cctv5.m3u8#http://223.110.241.204:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ/
CCTV 06,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228566/index.m3u8?fmt=ts2hls#https://116.77.72.195/streams/d/cctv6/playlist.m3u8#http://cdn.5itv.tv/ZZ_cctv6/ZZ_cctv6.m3u8
CCTV 07,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228507/index.m3u8?fmt=ts2hls#https://116.77.72.195/streams/d/cctv7/playlist.m3u8#http://cdn.5itv.tv/ZZ_cctv7/ZZ_cctv7.m3u8
CCTV 08,https://116.77.72.195/streams/d/cctv8/playlist.m3u8#http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228569/index.m3u8?fmt=ts2hls#http://221.6.85.150:9000/live/cctv8_800/cctv8_800.m3u8
CCTV 09,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228510/index.m3u8?fmt=ts2hls#https://116.77.72.195/streams/d/cctv9/playlist.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225734/index.m3u8
CCTV 10,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228513/index.m3u8?fmt=ts2hls#http://cdn.5itv.tv/ZZ_cctv10/ZZ_cctv10.m3u8#https://116.77.72.195/streams/d/cctv10/playlist.m3u8#http://223.110.241.203:6610/gitv/live1/G_CCTV-10-HQ/G_CCTV-10-HQ/
CCTV 11,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228297/index.m3u8?fmt=ts2hls#https://116.77.72.195/streams/d/cctv11/playlist.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV 12,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228485/index.m3u8?fmt=ts2hls#https://116.77.72.195/streams/d/cctv12/playlist.m3u8#http://cdn.5itv.tv/ZZ_cctv12/ZZ_cctv12.m3u8#http://221.6.85.150:9000/live/cctv12_800/cctv12_800.m3u8
CCTV 13,http://stream4.jlntv.cn/cctv13/sd/live.m3u8#http://liveali.ifeng.com/live/CCTV.m3u8#http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228266/index.m3u8?fmt=ts2hls#http://117.169.120.140:8080/live/cctv-13/.m3u8
CCTV 14,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228488/index.m3u8?fmt=ts2hls#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225678/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225732/index.m3u8
